Store Name,Store Address,City,State,Pincode
Bangalore-Koramangala,"CROMA Ground Floor,Indraprastha Equinox,Plot no.23 100 ft. Inner Ring Road,Koramangala - 560095",Bangalore,Karnataka,560095
Bangalore-Marathahalli,"CROMA ,P.R. Business Centre,Kadubeesanahalli Sarjapur,Outer Ring Road,Marathahalli - 560037",Bangalore,Karnataka,560037
Bangalore- Bannerghatta Mall,"CROMA,Unit/Anchor No.1,Royal Meenakshi Mall Opp. Meenakshi Temple,Bannergatta Road - 560076",Bangalore,Karnataka,560076
Bangalore-Banshankari,"CROMA,S.R.P.Arcade,30/31,6th Phase 3rd Stage,100 ft Ring Road,Banshankari - 560085",Bangalore,Karnataka,560085
Bangalore-PMC Mall,"CROMA,Unit No.F69,1st Flr,Phoenix Market City Mahadevpura,Nr. Krishnarajapuram Flyover - 560048",Bangalore,Karnataka,560048
Bangalore-Rajaji Nagar,"CROMA,Rajaji Nagar,Plot No-385/11 19th G Main,1st N Block,Rajaji Nagar - 560010",Bangalore,Karnataka,560010
Bangalore-Jaynagar,"CROMA,Ground/First Flr,Shravanee’s Krishna Mansion Plot No.31,100 ft. Road,2nd Block,Jayanagar - 560011",Bangalore,Karnataka,560011
Bangalore-Total Mall,"CROMA,Ground Floor,Total Mall,Kaikondarhalli Village Varthurhobli,Sarjapur Road - 560035",Bangalore,Karnataka,560035
Bangalore-Whitefield,"Croma, Miraya Rose, Survey No.66/1 (Old No.66) Situated at Siddapura Village, Varthur Hobli - 560066",Bangalore,Karnataka,560066
Bangalore-Yelahanka,"Croma, Survey No.32 situated at Allalasandra Village, B. B. Road, Yelahanka Hobli, Bengaluru North, Yelahanka, Bangalore - 560064",Bangalore,Karnataka,560064
Bangalore-Star Bazar,"Croma, First Floor, H.M Tower, HM Vibha tower, Ward no 63, Koramangala Bangalore - 560029",Bangalore,Karnataka,560029
Bangalore-Hennur Road,"Indraprastha, Survey Number 11, Gubbi Cross, Hennur Bagalur Road, Bangalore – 560 017",Bangalore,Karnataka,560017
Bangalore- Malleshwaram,"SHRAVANEE KICHAPPA ARCADE_” , 2nd Main, Sampige Road, Malleshwaram, Bangalore - 560003",Bangalore,Karnataka,560003
Bangalore-Gunjur,"Sy.No. 219/1 & 219/2, Varthur – Gunjur Main Road, Next to Chrysalis High School, SH-35, Gunjur Village, Bangalore - 560087",Bangalore,Karnataka,560087
Davangere-Hadadi Road,"Croma, D. No: 1647, Hadadi Road, Ambedkar Circle, Next to Bharat Petrol Pump, Davangere – 577001",Davanagere,Karnataka,577001
Hubli-Gokul Road,"Croma, Ground and First Floor, Signature Mall, Opposite Urban Oasis, Gokul Road, Airport Road, Hubli – 580 030",Hubli,Karnataka,580030
Mandya-MC Road,"Croma, Dayananda International D2/1529/1784/1, Bandi Gowda Layout, M.C.Road, Mandya, Karnataka – 571401",Mandya,Karnataka,571401
