State,City,Pincode,Store Name,
Tamil Nadu,Chennai,600042,Chennai-Grand Mall,
Tamil Nadu,Chennai,600042,Chennai-PMC Mall,
Tamil Nadu,Chennai,600037,Chennai-Mogappair,
Tamil Nadu,Chennai,600054,Chennai-Avadi,
Tamil Nadu,Chennai,600096,Chennai-BSR Mall,
Tamil Nadu,Chennai,600047,Chennai-Chrompet,
Tamil Nadu,Coimbatore,641035,Coimbatore-Prozone Mall,
Tamil Nadu,Coimbatore,641037,Coimbatore-Laxmi Mills,
Tamil Nadu,Hosur,635109,Hosur-Bagalur Road,
Tamil Nadu,Salem,636004,Salem-Bharathi Street,
Telangana,Hyderabad,500033,Hyderabad-Jubilee,
Telangana,Hyderabad,500018,Hyderabad-Panjagutta,
Telangana,Hyderabad,,Hyderabad-Kondapur,
Telangana,Hyderabad,500409,Hyderabad-Terminal International,
Telangana,Hyderabad,500074,Hyderabad-L B Nagar,
Telangana,Hyderabad,500062,Hyderabad-AS RaoNagar,
Telangana,Hyderabad,500014,Hyderabad-Kompally,
Telangana,Hyderabad,500048,Hyderabad-Attapur,
Telangana,Hyderabad,500072,Hyderabad-Kukatpally,
Telangana,Hyderabad,500084,Hyderabad-Sarath City Mall,
Telangana,Hyderabad,500013,Hyderabad- Ramanthapur,
Telangana,Hyderabad,500035,Hyderabad-Karmanghat,
Telangana,Hyderabad,500049,Hyderabad- Madinaguda,
Telangana,Secunderabad,500009,Secunderabad-New Vikrampuri,
Uttar Pradesh,Ghaziabad,201001,Ghazibad-Pacific Mall,
Uttar Pradesh,Ghaziabad,201001,Ghazibad-Aditya Mall,
Uttar Pradesh,Ghaziabad,201001,Ghazibad- Gaur Central RDC Mall,
Uttar Pradesh,Lucknow,226024,Lucknow-Aliganj,
Uttar Pradesh,Noida,201308,Greater Noida-Ansal Plaza Mall,
Uttar Pradesh,Noida,201301,Noida-Logix Mall,
Uttar Pradesh,Noida,201301,Noida-Mall of India,
Uttar Pradesh,Noida,201301,Noida-Gaur Mall,
West Bengal,Asansol,713304,Asansol-Bhagat Singh More,
West Bengal,Kolkata,700025,Kolkata-Sarat Bose Road,
West Bengal,Kolkata,700156,Kolkata-Rajarhat,
West Bengal,Kolkata,700157,Kolkata-Green Chinar,
West Bengal,Kolkata,700124,Kolkata-Barasat,
West Bengal,Kolkata,700099,Kolkata-Kalikapur,
West Bengal,Kolkata,700091,Kolkata-Salt Lake Sector 5,
